ligandsfile targetlist
D00001.mol2 1F9Y
D00002.mol2 1F9Y
D00003.mol2 1F9Y
D00004.mol2 1F9Y
D00005.mol2 1F9Y
D00006.mol2 1F9Y
D00007.mol2 1F9Y
D00008.mol2 1F9Y
D00009.mol2 1F9Y
D00010.mol2 1F9Y
D00011.mol2 1F9Y
D00012.mol2 1F9Y
D00013.mol2 1F9Y
D00014.mol2 1F9Y
D00015.mol2 1F9Y
D00016.mol2 1F9Y
D00017.mol2 1F9Y
D00018.mol2 1F9Y
D00019.mol2 1F9Y
D00020.mol2 1F9Y
D00021.mol2 1F9Y
D00022.mol2 1F9Y
D00023.mol2 1F9Y
D00024.mol2 1F9Y
D00025.mol2 1F9Y
D00026.mol2 1F9Y
D00027.mol2 1F9Y
D00028.mol2 1F9Y
D00029.mol2 1F9Y
D00030.mol2 1F9Y
D00031.mol2 1F9Y
D00032.mol2 1F9Y
D00033.mol2 1F9Y
D00034.mol2 1F9Y
D00035.mol2 1F9Y
D00036.mol2 1F9Y
D00037.mol2 1F9Y
D00038.mol2 1F9Y
D00039.mol2 1F9Y
D00040.mol2 1F9Y
D00041.mol2 1F9Y
D00043.mol2 1F9Y
D00044.mol2 1F9Y
D00045.mol2 1F9Y
D00046.mol2 1F9Y
D00047.mol2 1F9Y
D00048.mol2 1F9Y
D00049.mol2 1F9Y
D00050.mol2 1F9Y
D00051.mol2 1F9Y
D00052.mol2 1F9Y
D00054.mol2 1F9Y
D00055.mol2 1F9Y
D00057.mol2 1F9Y
D00058.mol2 1F9Y
D00059.mol2 1F9Y
D00061.mol2 1F9Y
D00062.mol2 1F9Y
D00063.mol2 1F9Y
D00064.mol2 1F9Y
D00065.mol2 1F9Y
D00066.mol2 1F9Y
D00067.mol2 1F9Y
D00068.mol2 1F9Y
D00069.mol2 1F9Y
D00070.mol2 1F9Y
D00073.mol2 1F9Y
D00074.mol2 1F9Y
D00075.mol2 1F9Y
D00076.mol2 1F9Y
D00077.mol2 1F9Y
D00078.mol2 1F9Y
D00079.mol2 1F9Y
D00081.mol2 1F9Y
D00082.mol2 1F9Y
D00083.mol2 1F9Y
D00086.mol2 1F9Y
D00087.mol2 1F9Y
D00088.mol2 1F9Y
D00089.mol2 1F9Y
D00091.mol2 1F9Y
D00092.mol2 1F9Y
D00094.mol2 1F9Y
D00095.mol2 1F9Y
D00096.mol2 1F9Y
D00097.mol2 1F9Y
D00098.mol2 1F9Y
D00099.mol2 1F9Y
D00100.mol2 1F9Y
D00101.mol2 1F9Y
D00102.mol2 1F9Y
D00103.mol2 1F9Y
D00104.mol2 1F9Y
D00105.mol2 1F9Y
D00106.mol2 1F9Y
D00107.mol2 1F9Y
D00108.mol2 1F9Y
D00109.mol2 1F9Y
D00110.mol2 1F9Y
D00111.mol2 1F9Y
D00112.mol2 1F9Y
D00113.mol2 1F9Y
D00114.mol2 1F9Y
D00117.mol2 1F9Y
D00118.mol2 1F9Y
D00119.mol2 1F9Y
D00120.mol2 1F9Y
D00121.mol2 1F9Y
D00122.mol2 1F9Y
D00123.mol2 1F9Y
D00124.mol2 1F9Y
D00125.mol2 1F9Y
D00126.mol2 1F9Y
D00127.mol2 1F9Y
D00129.mol2 1F9Y
D00130.mol2 1F9Y
D00131.mol2 1F9Y
D00132.mol2 1F9Y
D00133.mol2 1F9Y
D00134.mol2 1F9Y
D00136.mol2 1F9Y
D00137.mol2 1F9Y
D00138.mol2 1F9Y
D00139.mol2 1F9Y
D00140.mol2 1F9Y
D00141.mol2 1F9Y
D00142.mol2 1F9Y
D00143.mol2 1F9Y
D00144.mol2 1F9Y
D00145.mol2 1F9Y
D00147.mol2 1F9Y
D00148.mol2 1F9Y
D00149.mol2 1F9Y
D00151.mol2 1F9Y
D00152.mol2 1F9Y
D00153.mol2 1F9Y
D00154.mol2 1F9Y
D00155.mol2 1F9Y
D00156.mol2 1F9Y
D00157.mol2 1F9Y
D00158.mol2 1F9Y
D00159.mol2 1F9Y
D00160.mol2 1F9Y
D00161.mol2 1F9Y
D00162.mol2 1F9Y
D00163.mol2 1F9Y
D00164.mol2 1F9Y
D00165.mol2 1F9Y
D00167.mol2 1F9Y
D00168.mol2 1F9Y
D00169.mol2 1F9Y
D00170.mol2 1F9Y
D00173.mol2 1F9Y
D00174.mol2 1F9Y
D00175.mol2 1F9Y
D00176.mol2 1F9Y
D00177.mol2 1F9Y
D00178.mol2 1F9Y
D00179.mol2 1F9Y
D00180.mol2 1F9Y
D00181.mol2 1F9Y
D00182.mol2 1F9Y
D00183.mol2 1F9Y
D00184.mol2 1F9Y
D00185.mol2 1F9Y
D00186.mol2 1F9Y
D00187.mol2 1F9Y
D00188.mol2 1F9Y
D00189.mol2 1F9Y
D00190.mol2 1F9Y
D00192.mol2 1F9Y
D00193.mol2 1F9Y
D00194.mol2 1F9Y
D00195.mol2 1F9Y
D00196.mol2 1F9Y
D00197.mol2 1F9Y
D00198.mol2 1F9Y
D00199.mol2 1F9Y
D00200.mol2 1F9Y
D00201.mol2 1F9Y
D00202.mol2 1F9Y
D00203.mol2 1F9Y
D00204.mol2 1F9Y
D00205.mol2 1F9Y
D00206.mol2 1F9Y
D00208.mol2 1F9Y
D00209.mol2 1F9Y
D00210.mol2 1F9Y
D00211.mol2 1F9Y
D00212.mol2 1F9Y
D00213.mol2 1F9Y
D00214.mol2 1F9Y
D00215.mol2 1F9Y
D00216.mol2 1F9Y
D00217.mol2 1F9Y
D00218.mol2 1F9Y
D00219.mol2 1F9Y
D00220.mol2 1F9Y
D00221.mol2 1F9Y
D00222.mol2 1F9Y
D00223.mol2 1F9Y
D00224.mol2 1F9Y
D00225.mol2 1F9Y
D00226.mol2 1F9Y
D00227.mol2 1F9Y
D00228.mol2 1F9Y
D00229.mol2 1F9Y
D00230.mol2 1F9Y
D00231.mol2 1F9Y
D00232.mol2 1F9Y
D00233.mol2 1F9Y
D00234.mol2 1F9Y
D00235.mol2 1F9Y
D00236.mol2 1F9Y
D00238.mol2 1F9Y
D00240.mol2 1F9Y
D00241.mol2 1F9Y
D00242.mol2 1F9Y
D00243.mol2 1F9Y
D00244.mol2 1F9Y
D00245.mol2 1F9Y
D00246.mol2 1F9Y
D00247.mol2 1F9Y
D00248.mol2 1F9Y
D00249.mol2 1F9Y
D00250.mol2 1F9Y
D00251.mol2 1F9Y
D00252.mol2 1F9Y
D00253.mol2 1F9Y
D00254.mol2 1F9Y
D00255.mol2 1F9Y
D00256.mol2 1F9Y
